Invoice,ProductID,Product,Description,QuantityBought,Date,Price,CustomerID,Age,Gender,AverageSpend,PurchaseFrequency,Country,Category_x,Encoded_Category,Recency,Prod_cluster,text_features,product_features
221958,3180,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",4,00:00.0,34.04,81117,29,1,97.34,2,3,Home Decor,1,136.16,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 3 34.04 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 2"
771155,5892,Ceramic Mug,A durable ceramic mug with a smooth matte finish for hot beverages.,6,00:00.0,94.43,71158,33,0,273.44,2,2,Kitchen,2,566.58,1,Ceramic Mug A durable ceramic mug with a smooth matte finish for hot beverages. Kitchen,Ceramic Mug Kitchen 2 94.43 A durable ceramic mug with a smooth matte finish for hot beverages. 2
231932,8043,Ceramic Mug,A durable ceramic mug with a smooth matte finish for hot beverages.,3,00:00.0,112.72,44782,58,0,128.34,2,1,Kitchen,2,338.15999999999997,0,Ceramic Mug A durable ceramic mug with a smooth matte finish for hot beverages. Kitchen,Ceramic Mug Kitchen 1 112.72 A durable ceramic mug with a smooth matte finish for hot beverages. 2
465838,1137,Ceramic Mug,A durable ceramic mug with a smooth matte finish for hot beverages.,6,00:00.0,112.0,95709,49,1,214.24,2,3,Kitchen,2,672.0,1,Ceramic Mug A durable ceramic mug with a smooth matte finish for hot beverages. Kitchen,Ceramic Mug Kitchen 3 112.0 A durable ceramic mug with a smooth matte finish for hot beverages. 2
359178,7327,Desk Organizer,A multi-section organizer that keeps workspace essentials neatly arranged.,2,00:00.0,80.61,88533,32,0,178.9,0,2,Office,4,161.22,0,Desk Organizer A multi-section organizer that keeps workspace essentials neatly arranged. Office,Desk Organizer Office 2 80.61 A multi-section organizer that keeps workspace essentials neatly arranged. 0
744167,4472,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,8,00:00.0,14.93,68255,44,0,22.57,0,3,Lighting / Decor,3,119.44,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 3 14.93 A warm ambient lamp with soft diffused lighting for home décor. 0
210268,6449,Storage Box,A sturdy plastic storage box ideal for organizing household items.,2,00:00.0,58.81,82684,45,0,106.69,1,1,Storage,5,117.62,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 1 58.81 A sturdy plastic storage box ideal for organizing household items. 1
832180,3832,Desk Organizer,A multi-section organizer that keeps workspace essentials neatly arranged.,7,00:00.0,138.51,66918,34,0,326.24,2,0,Office,4,969.5699999999999,1,Desk Organizer A multi-section organizer that keeps workspace essentials neatly arranged. Office,Desk Organizer Office 0 138.51 A multi-section organizer that keeps workspace essentials neatly arranged. 2
154886,4579,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,9,00:00.0,89.75,94284,19,0,130.45,2,0,Electronics,0,807.75,1,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 0 89.75 A portable Bluetooth speaker with clear sound and deep bass. 2
237337,6971,Storage Box,A sturdy plastic storage box ideal for organizing household items.,1,00:00.0,83.06,89558,53,1,183.06,0,0,Storage,5,83.06,0,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 0 83.06 A sturdy plastic storage box ideal for organizing household items. 0
621430,5164,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,8,00:00.0,43.98,95549,24,0,105.33,1,3,Lighting / Decor,3,351.84,0,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 3 43.98 A flexible RGB LED strip with multiple color modes for room decoration. 1
187498,8941,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",7,00:00.0,58.43,91422,30,0,69.01,0,3,Home Decor,1,409.01,1,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 3 58.43 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 0"
999159,6569,Desk Organizer,A multi-section organizer that keeps workspace essentials neatly arranged.,6,00:00.0,134.83,35256,32,1,268.99,2,0,Office,4,808.98,1,Desk Organizer A multi-section organizer that keeps workspace essentials neatly arranged. Office,Desk Organizer Office 0 134.83 A multi-section organizer that keeps workspace essentials neatly arranged. 2
275203,5300,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",6,00:00.0,101.64,40005,42,1,155.12,2,0,Office,4,609.84,1,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 0 101.64 A premium ruled notebook for writing, journaling, or office notes. 2"
291335,7269,Storage Box,A sturdy plastic storage box ideal for organizing household items.,6,00:00.0,119.17,16638,40,0,291.82,0,2,Storage,5,715.02,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 2 119.17 A sturdy plastic storage box ideal for organizing household items. 0
378167,4818,Bluetooth Speaker,A portable Bluetooth speaker with clear sound and deep bass.,9,00:00.0,70.88,47419,39,0,97.75,1,3,Electronics,0,637.92,1,Bluetooth Speaker A portable Bluetooth speaker with clear sound and deep bass. Electronics,Bluetooth Speaker Electronics 3 70.88 A portable Bluetooth speaker with clear sound and deep bass. 1
141090,2906,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,2,00:00.0,96.39,43377,43,1,268.4,2,0,Lighting / Decor,3,192.78,0,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 0 96.39 A flexible RGB LED strip with multiple color modes for room decoration. 2
429365,7254,Home Decor Lamp,A warm ambient lamp with soft diffused lighting for home décor.,1,00:00.0,41.02,53116,50,1,76.37,2,3,Lighting / Decor,3,41.02,0,Home Decor Lamp A warm ambient lamp with soft diffused lighting for home décor. Lighting / Decor,Home Decor Lamp Lighting / Decor 3 41.02 A warm ambient lamp with soft diffused lighting for home décor. 2
164820,1760,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",6,00:00.0,107.29,46634,28,1,149.78,0,1,Office,4,643.74,1,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 1 107.29 A premium ruled notebook for writing, journaling, or office notes. 0"
887201,8830,Storage Box,A sturdy plastic storage box ideal for organizing household items.,8,00:00.0,67.0,92291,27,1,125.69,2,2,Storage,5,536.0,1,Storage Box A sturdy plastic storage box ideal for organizing household items. Storage,Storage Box Storage 2 67.0 A sturdy plastic storage box ideal for organizing household items. 2
421879,8350,Wall Clock,"A minimalist wall clock with a silent sweep mechanism, perfect for modern décor.",3,00:00.0,69.17,33382,42,1,125.72,1,0,Home Decor,1,207.51,0,"Wall Clock A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. Home Decor","Wall Clock Home Decor 0 69.17 A minimalist wall clock with a silent sweep mechanism, perfect for modern décor. 1"
818315,7238,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",1,00:00.0,99.15,66063,54,0,184.2,2,0,Office,4,99.15,0,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 0 99.15 A premium ruled notebook for writing, journaling, or office notes. 2"
427069,7090,LED Light Strip,A flexible RGB LED strip with multiple color modes for room decoration.,9,00:00.0,140.76,32394,55,1,305.61,2,0,Lighting / Decor,3,1266.84,1,LED Light Strip A flexible RGB LED strip with multiple color modes for room decoration. Lighting / Decor,LED Light Strip Lighting / Decor 0 140.76 A flexible RGB LED strip with multiple color modes for room decoration. 2
876997,7031,Notebook,"A premium ruled notebook for writing, journaling, or office notes.",1,00:00.0,14.28,77789,58,0,29.16,0,0,Office,4,14.28,0,"Notebook A premium ruled notebook for writing, journaling, or office notes. Office","Notebook Office 0 14.28 A premium ruled notebook for writing, journaling, or office notes. 0"
